name,grades,neighborhood,address,phone
Alamo Elementary School,Grades K-5,Outer Richmond,250-23rd Avenue,(415) 750-8456
Alvarado Elementary School,Grades K-5,Noe Valley,625 Douglass Street,(415) 695-5695
Argonne Elementary School,Grades K-5,Inner Richmond,680-18th Avenue,(415) 750-8460
Bryant Elementary School,Grades K-5,Mission,2641 - 25th St.,(415) 695-5780
Buena Vista/Horace Mann,Grades K-8,Mission,3351-23rd Street,(415) 695-5881
Bessie Carmichael (K-5 Campus),Grades K-8,South of Market,375-7th Street,(415) 615-8441
Dr. George Washington Carver Elementary School,Grades K-5,Bayview,1360 Oakdale Avenue,(415) 330-1540
Cesar Chavez Elementary School,PreK-5,Mission,825 Shotwell Street,(415) 695-5765
John Yehall Chin Elementary School,Grades K-5,North Beach,350 Broadway Street,(415) 291-7946
Chinese Education Center Elementary School,Grades K-5,Financial District,657 Merchant Street,(415) 291-7918
Chinese Immersion School at DeAvila,Grades K-4,Haight Ashbury,1250 Waller Street,(415) 241-6325
Clarendon Elementary School,Grades K-5,Inner Sunset,500 Clarendon Ave 94131,(415) 759-2796
Cleveland Elementary School,Grades K-5,Excelsior,455 Athens Street,(415) 469-4709
Dr. William L. Cobb Elementary School,PreK-5,Western Addition,2725 California Street,(415) 749-3505
Dr. Charles R. Drew Elementary School,Grades K-5,Bayview,50 Pomona Avenue,(415) 330-1526
El Dorado Elementary School,Grades K-5,Visitacion Valley,70 Delta Street,(415) 330-1537
Fairmount Elementary School,PreK-5,Glen Park,65 Chenery Street,(415) 695-5669
Dianne Feinstein Elementary School,Grades K-5,Parkside,2550 25th Avenue,(415) 615-8460
Leonard Flynn Elementary School,Grades K-5,Bernal Heights,3125 Cesar Chavez Street,(415) 695-5770
Garfield Elementary School,Grades K-5,North Beach,420 Filbert Street,(415) 291-7924
Glen Park Elementary School,Grades K-5,Outer Mission,151 Lippard Avenue,(415) 469-4713
Grattan Elementary School,Grades K-5,Haight Ashbury,165 Grattan Street,(415) 759-2815
Guadalupe Elementary School,Grades K-5,Crocker Amazon,859 Prague Street,(415) 469-4718
Bret Harte Elementary School,Grades K-5,Bayview,1035 Gilman Avenue,(415) 330-1520
Hillcrest Elementary School,Grades K-5,Excelsior,810 Silver Avenue,(415) 469-4722
Jefferson Elementary School,Grades K-5,Inner Sunset,1725 Irving Street,(415) 759-2821
Francis Scott Key Elementary School,Grades K-5,Outer Sunset,1530-43rd Avenue,(415) 759-2811
Lafayette Elementary School,PreK-5,Outer Richmond,4545 Anza Street,(415) 750-8483
Lakeshore Elementary School,Grades K-5,Lakeshore,220 Middlefield Drive,(415) 759-2825
Gordon J. Lau Elementary School,Grades K-5,Chinatown,950 Clay Street,(415) 291-7921
Lawton,Grades K-8,Outer Sunset,1570 31st Avenue,(415) 759-2832
Claire Lilienthal (K-2 Madison Campus),Grades K-8,Inner Richmond,3950 Sacramento Street,(415) 750-8603
Longfellow Elementary School,Grades K-5,Crocker Amazon,755 Morse Street,(415) 469-4730
Malcolm X Elementary School,Grades K-5,Bayview,350 Harbor Road,(415) 695-5950
Marshall Elementary School,Grades K-5,Mission,1575 - 15th Street,(415) 241-6280
Frank McCoppin Elementary School,Grades K-5,Inner Richmond,651 6th Avenue,(415) 750-8475
McKinley Elementary School,Grades K-5,Castro/Upper Market,1025 - 14th Street,(415) 241-6300
Harvey Milk,Grades K-5,Castro/Upper Market,4235 19th Street,(415) 241-6276
Miraloma Elementary School,Grades K-5,West of Twin Peaks,175 Omar Way,(415) 469-4734
Mission Education Center Elementary School,Grades K-5,Noe Valley,1670 Noe Street,(415) 695-5313
Monroe Elementary School,Grades K-5,Excelsior,260 Madrid Street,(415) 469-4736
George Moscone Elementary School,PreK-5,Mission,2576 Harrison Street,(415) 695-5736
John Muir Elementary School,Grades K-5,Western Addition,380 Webster Street,(415) 241-6335
New Traditions Elementary School,Grades K-5,Haight Ashbury,2049 Grove Street,(415) 750-8490
Jose Ortega Elementary School,Grades K-5,Ocean View,400 Sargent Street,(415) 469-4726
Jean Parker Elementary School,Grades K-5,Russian Hill,840 Broadway Street,(415) 291-7990
Rosa Parks Elementary School,Grades K-5,Western Addition,1501 O'Farrell Street,(415) 749-3519
George Peabody Elementary School,Grades K-5,Inner Richmond,251 6th Avenue,(415) 750-8480
Redding Elementary School,Grades K-5,Nob Hill,1421 Pine Street,(415) 749-3525
Paul Revere,PreK-8,Bernal Heights,555 Tompkins Avenue,(415) 695-5656
Rooftop (K-4 Burnett Campus),Grades K-8,Twin Peaks,443 Burnett Street,(415) 695-5691
S. F. Community,Grades K-8,Excelsior,125 Excelsior Avenue,(415) 469-4739
S. F. Public Montessori Elementary School,PreK-5,Pacific Heights,2340 Jackson Street,(415) 749-3544
Sanchez Elementary School,PreK-5,Castro/Upper Market,325 Sanchez Street,(415) 241-6380
Junipero Serra Elementary School,Grades K-5,Bernal Heights,625 Holly Park Circle,(415) 695-5685
Sheridan Elementary School,Grades K-5,Ocean View,431 Capitol Avenue,(415) 469-4743
Sherman Elementary School,Grades K-5,Marina,1651 Union Street,(415) 749-3530
Commodore Sloat Elementary School,Grades K-5,West of Twin Peaks,50 Darien Way,(415) 759-2807
Spring Valley Elementary School,Grades K-5,Nob Hill,1451 Jackson Street,(415) 749-3535
Starr King Elementary School,Grades K-5,Potrero Hill,1215 Carolina Street,(415) 695-5797
Robert Louis Stevenson Elementary School,Grades K-5,Outer Sunset,2051 - 34th Avenue,(415) 759-2837
Sunnyside Elementary School,Grades K-5,Outer Mission,250 Foerster Street,(415) 469-4746
Sunset Elementary School,Grades K-5,Outer Sunset,1920 41st Avenue,(415) 759-2760
Sutro Elementary School,Grades K-5,Inner Richmond,235 12th Avenue,(415) 750-8525
E. R. Taylor Elementary School,Grades K-5,Excelsior,423 Burrows Street,(415) 330-1530
Tenderloin Elementary School,Grades K-5,Downtown/Civic Center,627 Turk Street,(415) 749-3567
Ulloa Elementary School,Grades K-5,Parkside,2650 42nd Avenue,(415) 759-2841
Visitacion Valley Elementary School,Grades K-5,Visitacion Valley,55 Schwerin Street,(415) 469-4796
Daniel Webster Elementary School,Grades K-5,Potrero Hill,465 Missouri Street,(415) 695-5787
West Portal Elementary School,Grades K-5,West of Twin Peaks,5 Lenox Way,(415) 759-2846
Yick Wo Elementary School,Grades K-5,Russian Hill,2245 Jones Street,(415) 749-3540
Alice Fong Yu,Grades K-8,Inner Sunset,1541 - 12th Avenue,(415) 759-2764
